CUSTOMER_ID|LIMIT_BAL|SEX|EDUCATION|MARRIAGE|AGE|PAY_2|PAY_3|PAY_4|PAY_5|PAY_6|BILL_AMT1|BILL_AMT2|BILL_AMT3|BILL_AMT4|BILL_AMT5|BILL_AMT6|PAY_AMT1|PAY_AMT2|PAY_AMT3|PAY_AMT4|PAY_AMT5|PAY_AMT6
16554|120000.0|2|3|2|37|-1|-1|-1|-1|-1|776.0|1616.0|776.0|776.0|776.0|776.0|1616.0|776.0|776.0|776.0|776.0|776.0
20697|20000.0|1|3|2|40|0|0|0|0|-1|17613.0|18897.0|34964.0|9376.0|9620.0|780.0|1590.0|1208.0|1276.0|520.0|1560.0|0.0
3890|140000.0|1|1|2|32|0|0|0|0|0|101458.0|99196.0|78458.0|76387.0|76344.0|67302.0|3997.0|3520.0|2500.0|2689.0|2494.0|2498.0
8488|300000.0|1|1|1|42|0|0|-1|0|0|11973.0|61834.0|25145.0|37666.0|19453.0|10492.0|20979.0|5000.0|37676.0|8808.0|2000.0|2709.0
20266|210000.0|1|2|2|27|-1|2|0|0|-2|0.0|628.0|232.0|1067.0|-27.0|-27.0|628.0|0.0|1000.0|0.0|0.0|0.0
19819|110000.0|2|2|1|34|0|0|0|0|0|18328.0|19385.0|20400.0|20729.0|21465.0|21740.0|1300.0|1280.0|600.0|1005.0|709.0|732.0
6252|50000.0|2|1|1|27|2|0|0|2|0|19029.0|18431.0|22782.0|32304.0|31519.0|23724.0|0.0|5000.0|10000.0|0.0|6724.0|13385.0
6799|150000.0|1|2|1|37|2|2|2|2|2|106628.0|100750.0|86686.0|78497.0|67612.0|55050.0|7400.0|0.0|4800.0|1800.0|0.0|2100.0
12183|400000.0|1|1|1|49|-1|-1|-1|-2|-2|38810.0|58265.0|49415.0|0.0|0.0|0.0|58265.0|49415.0|0.0|0.0|0.0|0.0
12914|160000.0|2|2|1|25|-1|-1|-1|0|0|8030.0|8030.0|8030.0|19069.0|15359.0|10846.0|8030.0|8030.0|19069.0|5359.0|377.0|5877.0
18327|100000.0|1|1|2|26|0|0|0|0|0|2724.0|46286.0|46435.0|4398.0|3437.0|3476.0|45000.0|2300.0|1000.0|0.0|1000.0|100.0
1798|120000.0|2|3|1|54|0|0|0|0|0|67094.0|69010.0|70683.0|71504.0|73230.0|73613.0|3000.0|3000.0|2300.0|2600.0|2500.0|1500.0
25127|480000.0|1|1|1|49|-2|-2|-2|-2|-2|63701.0|-220.0|38929.0|339176.0|33146.0|37337.0|0.0|39149.0|344261.0|33312.0|37511.0|31383.0
15942|250000.0|2|2|1|50|0|2|0|0|0|116256.0|122392.0|118668.0|95735.0|96509.0|97089.0|11500.0|0.0|3543.0|3700.0|3547.0|3165.0
28011|110000.0|2|3|1|49|0|0|0|0|0|52775.0|52687.0|53403.0|56028.0|57996.0|59839.0|3000.0|3000.0|5000.0|3000.0|3000.0|2000.0
24886|210000.0|1|3|2|32|0|0|0|0|0|204157.0|211065.0|206043.0|181945.0|52712.0|3574.0|10059.0|10120.0|8256.0|5000.0|4036.0|153904.0
28320|100000.0|2|2|1|22|0|0|0|0|0|100192.0|93394.0|43004.0|50196.0|79217.0|78771.0|3000.0|3000.0|8000.0|30000.0|3000.0|4000.0
25604|350000.0|2|1|2|35|-2|-2|-2|-2|-1|8526.0|10892.0|9218.0|9834.0|1458.0|5225.0|10951.0|9274.0|4711.0|1472.0|5251.0|68361.0
137|60000.0|2|3|1|32|0|0|0|0|0|63354.0|65299.0|67087.0|27121.0|26316.0|26476.0|3000.0|3490.0|1794.0|1311.0|953.0|1390.0
18844|240000.0|2|2|2|26|0|0|0|0|0|138859.0|136521.0|135459.0|117308.0|107928.0|103799.0|5308.0|4915.0|4100.0|4000.0|4002.0|4000.0
20456|30000.0|1|2|2|39|0|0|0|0|0|24065.0|25660.0|26257.0|27641.0|29335.0|10493.0|2005.0|2000.0|2000.0|2000.0|1000.0|1000.0
22902|30000.0|1|2|1|35|0|0|2|0|0|8348.0|9678.0|12702.0|12206.0|12701.0|13839.0|1476.0|3500.0|0.0|1000.0|1500.0|0.0
6485|220000.0|2|2|1|37|0|0|0|0|0|81191.0|78538.0|76747.0|67266.0|60896.0|160731.0|3000.0|3000.0|3520.0|3000.0|106200.0|5000.0
13526|10000.0|1|2|1|50|2|0|0|0|0|10171.0|8150.0|8446.0|8067.0|8227.0|8400.0|2.0|1281.0|1134.0|294.0|305.0|1000.0
22961|360000.0|1|3|1|27|-2|-2|-2|-2|-2|1097.0|778.0|2999.0|-1.0|-1.0|-1.0|780.0|3021.0|0.0|0.0|0.0|0.0
17989|420000.0|1|2|1|24|0|0|0|0|0|392639.0|397332.0|376317.0|214062.0|164003.0|162836.0|16117.0|20516.0|7092.0|6019.0|4636.0|5570.0
28871|290000.0|2|2|1|26|0|0|0|0|0|262518.0|180499.0|138326.0|128721.0|95657.0|90210.0|6500.0|5300.0|4000.0|5000.0|3000.0|2974.0
4958|50000.0|2|3|2|25|0|0|0|0|0|27232.0|26777.0|27129.0|26613.0|26057.0|25924.0|1439.0|1464.0|1401.0|908.0|935.0|924.0
14340|80000.0|2|2|1|37|0|0|0|0|0|69767.0|73197.0|44195.0|45458.0|48679.0|49895.0|5000.0|3000.0|2000.0|4000.0|2000.0|2000.0
28139|160000.0|2|2|1|49|-1|2|0|0|2|16982.0|21353.0|20723.0|21873.0|25999.0|26377.0|4980.0|0.0|1500.0|4520.0|939.0|0.0
27450|300000.0|2|1|2|29|-2|-2|-2|-2|-2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
20600|470000.0|1|1|1|37|0|0|0|0|0|134561.0|226498.0|165474.0|120644.0|119006.0|110780.0|150055.0|7046.0|10000.0|15029.0|15017.0|10023.0
8301|150000.0|1|2|1|48|0|0|0|0|0|118610.0|121098.0|123460.0|66902.0|68230.0|69661.0|4955.0|4947.0|3818.0|2442.0|2530.0|2538.0
11683|130000.0|2|1|1|23|2|-1|-1|-1|-1|126885.0|62717.0|29615.0|22110.0|15352.0|10452.0|239.0|29615.0|22135.0|15352.0|10452.0|4623.0
17657|50000.0|1|1|2|26|0|0|0|0|0|15448.0|16392.0|18096.0|18425.0|18619.0|19060.0|1500.0|2000.0|1500.0|1200.0|900.0|1000.0
6792|60000.0|2|2|2|24|2|0|0|0|2|59201.0|58493.0|58820.0|57827.0|61055.0|56668.0|2300.0|2700.0|2200.0|4500.0|0.0|2200.0
4147|150000.0|2|4|3|49|-2|-1|-1|0|-1|-260.0|-2835.0|3960.0|10410.0|2361.0|2868.0|4.0|7920.0|10426.0|0.0|2868.0|4384.0
27126|340000.0|1|1|2|35|-1|-1|-1|-1|-1|842.0|2865.0|-22.0|7569.0|797.0|1211.0|2873.0|0.0|7591.0|799.0|1214.0|18309.0
2872|70000.0|2|2|2|24|0|0|0|2|0|12954.0|14425.0|18171.0|20861.0|20231.0|22831.0|2000.0|4000.0|3000.0|0.0|3100.0|3000.0
9651|50000.0|1|2|2|23|2|2|2|2|2|29509.0|30741.0|31438.0|31924.0|32566.0|33081.0|2000.0|1500.0|1300.0|1300.0|1200.0|1500.0
27002|210000.0|2|1|2|27|0|0|0|0|0|16186.0|16914.0|18288.0|19301.0|19383.0|19940.0|1300.0|1650.0|1620.0|700.0|870.0|880.0
18534|90000.0|2|2|1|32|0|0|0|0|0|88729.0|88533.0|91001.0|90661.0|51620.0|52668.0|3500.0|3908.0|4328.0|2100.0|2500.0|1308.0
2440|100000.0|1|1|2|38|0|0|0|0|0|40810.0|42653.0|42351.0|43011.0|43011.0|28947.0|2502.0|1200.0|860.0|0.0|579.0|0.0
25829|400000.0|2|2|1|32|0|0|0|0|0|183339.0|179701.0|179979.0|89317.0|59413.0|65890.0|10016.0|7473.0|6151.0|2000.0|7015.0|45.0
13605|20000.0|1|2|1|52|-1|-1|-1|-1|-1|1912.0|2760.0|2430.0|850.0|2430.0|2530.0|2768.0|2430.0|850.0|2430.0|2530.0|1570.0
20947|200000.0|2|2|2|27|-1|-1|0|-1|-1|13285.0|2150.0|14122.0|27413.0|35377.0|29922.0|2155.0|14122.0|23007.0|7212.0|29922.0|37790.0
6534|340000.0|1|2|2|25|0|0|0|0|0|170717.0|174026.0|177359.0|173334.0|176605.0|180205.0|6401.0|6501.0|6101.0|6201.0|6501.0|6601.0
15867|60000.0|2|2|2|36|0|0|0|0|0|57724.0|56597.0|50766.0|47022.0|31606.0|30820.0|2000.0|5015.0|2000.0|3000.0|1300.0|1500.0
12395|160000.0|2|2|2|29|2|-1|-1|-1|-1|1989.0|-8.0|866.0|0.0|892.0|0.0|0.0|874.0|0.0|892.0|0.0|594.0
29654|60000.0|2|1|1|25|0|0|0|0|0|45575.0|43303.0|27113.0|19582.0|19109.0|17236.0|1432.0|11279.0|1960.0|1000.0|633.0|527.0
559|500000.0|1|2|1|40|0|0|-1|-1|0|94585.0|61111.0|24801.0|6288.0|166251.0|162785.0|2659.0|2090.0|6333.0|178460.0|5506.0|6205.0
3006|20000.0|1|2|2|40|-1|0|0|0|0|1261.0|11839.0|9610.0|7004.0|10614.0|10433.0|11839.0|1266.0|1000.0|5000.0|209.0|0.0
4510|210000.0|2|2|2|28|0|-1|0|0|-2|2162.0|61.0|259323.0|139861.0|1684.0|826.0|61.0|130000.0|10000.0|1684.0|826.0|1793.0
18181|170000.0|2|2|2|27|-1|-1|0|0|0|414.0|-1020.0|25607.0|23922.0|24399.0|24919.0|0.0|27107.0|1500.0|863.0|903.0|3000.0
26081|200000.0|2|2|1|34|-2|-2|-1|-1|-1|6626.0|2469.0|3760.0|4273.0|3015.0|5076.0|2476.0|3771.0|4285.0|3023.0|5088.0|6282.0
29011|50000.0|1|2|1|32|0|0|0|0|0|19606.0|18516.0|16481.0|12518.0|7538.0|5854.0|5027.0|3053.0|5040.0|1000.0|1016.0|501.0
