CUSTOMER_ID|LIMIT_BAL|SEX|EDUCATION|MARRIAGE|AGE|PAY_3|PAY_4|PAY_5|PAY_6|BILL_AMT2|BILL_AMT3|BILL_AMT4|BILL_AMT5|BILL_AMT6|PAY_AMT2|PAY_AMT3|PAY_AMT4|PAY_AMT5|PAY_AMT6
24572|120000.0|2|3|1|45|-2|-2|-2|-2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
15319|170000.0|2|1|2|38|-1|-1|-2|-2|-3.0|1243.0|0.0|0.0|0.0|1246.0|0.0|0.0|0.0|0.0
29198|150000.0|1|1|1|39|0|0|0|0|64803.0|62844.0|61785.0|61136.0|57287.0|2803.0|2019.0|2060.0|2098.0|2024.0
25328|50000.0|1|2|2|24|0|0|0|0|38561.0|36086.0|32945.0|29348.0|23570.0|3011.0|1019.0|1019.0|2015.0|17.0
11525|240000.0|1|2|2|37|0|0|0|0|175049.0|176990.0|169198.0|166131.0|169245.0|7000.0|6000.0|5200.0|5400.0|5400.0
3900|50000.0|2|3|1|37|0|0|0|0|2378.0|4167.0|5438.0|6193.0|6939.0|2000.0|1500.0|1000.0|1000.0|1000.0
17862|100000.0|2|2|1|39|0|0|0|0|97040.0|65668.0|66046.0|66779.0|45833.0|2617.0|2098.0|1916.0|1707.0|1732.0
19767|100000.0|2|2|1|29|-2|-2|-2|-2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
16200|30000.0|2|1|2|24|0|0|0|0|23574.0|24583.0|24915.0|25280.0|25791.0|1705.0|1037.0|915.0|929.0|1097.0
5891|230000.0|1|1|2|30|-2|-2|-1|-1|0.0|0.0|0.0|625.0|514.0|0.0|0.0|625.0|514.0|3.0
20367|210000.0|2|2|1|33|0|2|2|2|163060.0|168218.0|169726.0|173687.0|176510.0|8000.0|6000.0|7000.0|6000.0|20000.0
15225|230000.0|1|1|1|33|0|0|0|0|225070.0|227528.0|121751.0|219354.0|111792.0|9100.0|4600.0|4200.0|4100.0|5000.0
17332|120000.0|1|2|1|51|0|0|0|2|118818.0|119395.0|108802.0|99988.0|84253.0|5900.0|4100.0|7100.0|0.0|17400.0
21584|80000.0|2|3|1|43|3|3|2|3|71459.0|73690.0|71908.0|76294.0|74788.0|4000.0|0.0|5700.0|0.0|0.0
22474|60000.0|2|2|1|49|2|2|0|0|18440.0|18841.0|18241.0|18946.0|20634.0|1000.0|0.0|1000.0|2000.0|0.0
7911|100000.0|2|2|1|39|0|0|0|0|65668.0|66046.0|66779.0|45833.0|46369.0|2098.0|1916.0|1707.0|1732.0|1379.0
2267|30000.0|2|2|1|51|3|2|2|0|18908.0|18321.0|19618.0|19008.0|19301.0|0.0|1900.0|0.0|750.0|750.0
26184|240000.0|1|1|2|27|0|0|-1|2|4748.0|7013.0|7722.0|732.0|291.0|2873.0|1000.0|882.0|0.0|0.0
20458|20000.0|2|1|2|31|2|2|2|0|5941.0|8541.0|8560.0|8274.0|9135.0|2869.0|305.0|0.0|1000.0|1000.0
1341|160000.0|2|1|1|42|-1|-1|-1|0|4420.0|3062.0|6117.0|4781.0|1450.0|3062.0|6119.0|4781.0|0.0|6058.0
