CUSTOMER_ID|LIMIT_BAL|SEX|EDUCATION|MARRIAGE|AGE|PAY_4|PAY_5|PAY_6|BILL_AMT3|BILL_AMT4|BILL_AMT5|BILL_AMT6|PAY_AMT3|PAY_AMT4|PAY_AMT5|PAY_AMT6
12453|430000.0|1|1|2|34|0|-1|0|100177.0|-3849.0|304425.0|293920.0|3116.0|313094.0|10300.0|15000.0
23147|120000.0|1|2|2|68|0|0|0|122209.0|122047.0|122019.0|130079.0|4370.0|4440.0|12600.0|4500.0
10988|170000.0|2|2|2|27|0|0|0|80131.0|70788.0|68927.0|70678.0|2500.0|3000.0|2900.0|2918.0
17468|20000.0|2|2|1|34|0|0|-1|8879.0|10926.0|17536.0|2090.0|3000.0|7000.0|2090.0|0.0
19659|20000.0|1|3|1|35|0|0|0|22422.0|20794.0|19914.0|7476.0|503.0|2019.0|233.0|100.0
18169|300000.0|1|1|1|40|-2|-2|-2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
12379|10000.0|1|2|1|44|0|0|0|5295.0|5635.0|8735.0|6745.0|3009.0|4000.0|0.0|0.0
28595|300000.0|2|4|2|24|-1|-1|-1|4725.0|2595.0|2110.0|20984.0|2600.0|2110.0|20984.0|4366.0
20278|100000.0|2|3|2|58|0|0|0|97177.0|99043.0|74453.0|76252.0|4600.0|3000.0|3000.0|3000.0
4319|70000.0|1|3|1|35|2|2|2|31914.0|32394.0|31574.0|34053.0|1300.0|0.0|3000.0|1385.0
3546|240000.0|2|2|1|32|-2|-2|-2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
24948|90000.0|2|1|1|28|0|0|0|10420.0|14420.0|9855.0|9097.0|4000.0|5000.0|3500.0|5000.0
15009|80000.0|2|2|2|24|2|2|2|76710.0|74792.0|79636.0|77757.0|0.0|6000.0|0.0|3000.0
8019|500000.0|2|1|2|35|0|0|0|10925.0|11795.0|14384.0|15806.0|1114.0|2703.0|3435.0|402.0
15338|50000.0|1|3|2|27|-2|-1|-1|0.0|0.0|70.0|120.0|0.0|70.0|200.0|100.0
17163|390000.0|1|2|1|37|0|0|0|187648.0|192538.0|198828.0|206489.0|8001.0|10000.0|10000.0|14807.0
22685|100000.0|2|2|1|27|-2|-2|-1|0.0|0.0|0.0|4747.0|0.0|0.0|4747.0|1198.0
19827|50000.0|1|2|2|23|2|2|2|11097.0|10596.0|12421.0|12129.0|0.0|1958.0|0.0|1000.0
25722|20000.0|1|2|2|24|2|0|0|15855.0|16295.0|17023.0|17388.0|1000.0|1000.0|639.0|2822.0
14956|390000.0|2|1|2|32|0|0|0|15204.0|13529.0|14139.0|14496.0|1500.0|1500.0|519.0|7000.0
9278|50000.0|1|1|2|30|2|2|2|37215.0|37718.0|38584.0|37829.0|1400.0|1601.0|0.0|2500.0
20849|160000.0|1|3|2|30|0|-2|-2|272419.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
14273|140000.0|2|3|1|38|0|2|2|120435.0|139795.0|142950.0|140505.0|21500.0|5500.0|0.0|5000.0
13387|150000.0|2|3|2|35|0|0|0|133145.0|120821.0|107280.0|105510.0|4030.0|4000.0|4000.0|4000.0
3032|180000.0|2|1|2|26|-2|-2|-2|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0
762|140000.0|1|2|2|30|0|2|2|7936.0|13194.0|5692.0|8410.0|5600.0|0.0|3002.0|2.0
27139|150000.0|1|2|1|43|0|0|0|156523.0|159653.0|162866.0|157759.0|5700.0|5700.0|5700.0|5334.0
10919|120000.0|2|2|1|41|-1|-1|0|421.0|4502.0|6013.0|5094.0|5000.0|6013.0|0.0|7600.0
25062|20000.0|1|2|2|24|4|4|4|1650.0|1650.0|1650.0|1650.0|0.0|0.0|0.0|0.0
17756|500000.0|2|1|1|36|-2|-2|-2|15714.0|5390.0|43386.0|0.0|5390.0|43386.0|0.0|0.0
23707|290000.0|2|1|2|25|0|0|0|296384.0|248801.0|241983.0|230925.0|10000.0|15000.0|7844.0|23333.0
